"# of Use","使用次数"
"%1$s incl tax.","%1$s 含税"
"%s - %s","%s - %s"
"%s Item(s)","%s 个项目"
"%s and above","%s 以上"
"The base directory to upload file is not specified.","未指定上传档案的基础目录"
"The category has been deleted.","该目录已经删除"
"The category has been saved.","该目录已经保存"
"The comparison list was cleared.","比较产品被清空"
"The file '%s' for '%s' has an invalid extension","档案 '%s' 为 '%s' 后缀不允许"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","您所上传的档案 '%s' 大于服务器所允许的 %s M"
"The file you uploaded is larger than %s Megabytes allowed by server","您所上传的档案超过了服务器允许的 %s M"
"The filters must be an array.","过滤器必须是数组"
"The image contents is not valid base64 data.","图片不是允许的 base64 数据"
"The image is not specified.","未指定图片"
"The model collection resource name is not defined.","这个型号集合资源名称未定义"
"The product %s has been added to comparison list.","产品 %s 已经加入到比较产品"
"The product %s has been removed from comparison list.","产品 %s 已经从比较产品移除"
"The product attribute has been deleted.","产品属性已经删除"
"The product attribute has been saved.","产品属性已经保存"
"The product has been created.","产品已经建立"
"The product has been deleted.","产品已经删除"
"The product has been duplicated.","产品已经复制"
"The product has been saved.","产品已经保存"
"The product has required options","该产品具有要求的选项"
"The review has been deleted","评论已经删除"
"The review has been saved.","评论已经保存"
"The review was removed by another user or does not exist.","评论已经被其他会员删除或不存在"
"The search was deleted.","搜寻已经删除"
"The text is too long","文字太长"
"There are no %s available.","没有%s可用"
"There are no customers for this alert","该提醒没有客户"
"There are no customers for this alert.","该提醒没有客户"
"There are no products matching the selection.","这个分类没有符合的产品"
"There was an error while request processing.","请求处理时发生错误"
"This Attribute no longer exists","该属性已不存在"
"This attribute cannot be deleted.","该属性不能删除"
"This attribute cannot be edited.","该属性不能编辑"
"This attribute cannot be updated.","该属性不能更新"
"This attribute is used in configurable products.","这个属性被用在客制化产品"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","此属性已用于客制化产品上，您不能从属性集中删除它"
"This attribute no longer exists","该属性不存在"
"This attribute set no longer exists.","该属性集合已经不存在"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","该属性集合包含可配置产品所使用属性。请将这些属性移到另外的属性集合再试"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性集合包含系统属性。请将系统属性移到另外一个组后再试"
"This is a required option","此为必选项目"
"This product no longer exists.","该产品已不存在"
"This search no longer exists.","该搜寻已不存在"
"This setting will be applied when all prices in the specific price interval are equal.","在指定价格间隔的所有价格相同时会套用这个设定"
"Tier Pricing","分级价格"
"Tile","排列"
"Time Format","时间格式"
"Title","标题"
"To reindex the enabled product(s), the store or product must be specified","要对已开启的产品重新索引，必须指定商店或产品"
"To see product price, add this item to your cart. You can always remove it later.","要检视产品价格，请将它加入购物车。您随时可以从购物车将它移除。"
"Top/Left","左上"
"Top/Right","右上"
"Total Qty Base Items","Base 记录总数"
"Total incl. Tax: %1$s","税总额： %1$s"
"Total of %d record(s) have been deleted.","共有 %d 笔数据被删除"
"Total of %d record(s) have been updated.","共有 %d 笔数据被更新"
"Total of %d record(s) were updated","共有 %d 笔数据被更新"
"Type","类型"
"URL Rewrite Management","替代网址管理"
"Unable to complete this request.","无法完成请求"
"Unable to find a search term to delete.","没有找到要删除的搜寻关键词"
"Unable to find an attribute to delete.","没有找到要删除的属性"
"Unable to get the product ID.","无法取得产品编号"
"Unassigned Attributes","未指定的属性"
"Unknown EAV indexer type ""%s"".","未知 EAV 索引类型 ""%s"""
"Unknown attribute: %s.","未知属性： %s"
"Unsupported product type ""%s"".","不支持产品类型 ""%s"""
"Up-sells","推荐销售"
"Update","更新"
"Update Attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update assigned product","更新指定产品"
"Update attribute","更新属性"
"Update attributes","更新属性"
"Update category","更新分类"
"Update custom option of product","更新产品自定义选项"
"Update product","更新产品"
"Update product image","更新产品图片"
"Update product link","更新产品连接"
"Update product tier prices","更新产品分级价格"
"Update value of custom option","更新自定义选项的数值"
"Upload new product image ","上传新的产品图片"
"Use Canonical Link Meta Tag For Categories","为分类使用标准链接元标签"
"Use Canonical Link Meta Tag For Products","为产品使用标准链接元卷标"
"Use Categories Path for Product URLs","使用分类路径作为产品 URLs"
"Use Config Settings","使用默认值"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","使用平面目录分类"
"Use Flat Catalog Product","使用平面产品上当"
"Use In Layered Navigation","用于分层导览"
"Use In Search Results Layered Navigation","用于分层导览搜寻结果"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Use Static URLs for Media Content in WYSIWYG for Catalog","在产品目录媒体内容的所见即所得编辑器使用静态URL"
"Use To Create Configurable Product","用于建立可配置产品"
"Use Tree Like Category Sitemap","使用树状分类网站图"
"Use config","使用设定"
"Use default","使用预设"
"Use for Promo Rule Conditions","用在促销规则条件"
"Use four-digit year format.","使用 4码 年份格式"
"Use in Advanced Search","用于进阶搜寻"
"Use in Layered Navigation","用于分阶层导览"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导览<br/>(仅用于目录输入类型'下拉选单')"
"Use in Quick Search","用于快速搜寻"
"Used for Sorting in Product Listing","用作产品列表排序"
"Used in Product Listing","用在产品列表中"
"Value for ""%s"" is invalid."," ""%s"" 的值有误"
"Value for ""%s"" is invalid: %s"," ""%s"" 的值有误： %s"
"Varchar","变数"
"View as","浏览方式"
"Virtual Product","虚拟产品"
"Visibility","可见性"
"Visible","可见"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Visible on Product View Page on Front-end","前台产品页可见"
"WYSIWYG Editor","所见即所得编辑器"
"Watermark","水印"
"Watermark Default Size","水印预设大小"
"Watermark Opacity, Percent","浮水印透明度百分比"
"Watermark Position","水印位置"
"We Also Recommend","我们同时推荐"
"Website","网站"
"Websites","网站"
"What's this?","这是什么？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否显示全部中的显示每页X的下拉选项"
"Will make search for the query above return results for this search.","会让上面的搜寻传回这个查询结果"
"Wrong BuyRequest instance in options group.","选项组中错误的购买请求例子"
"Wrong configuration item instance in options group.","选项组中错误的设定项目实例"
"Wrong configuration item option instance in options group.","选项组中错误的设定项目选项实例"
"Wrong option instance type in options group.","选项组中错误的事例类型"
"Wrong option type to get group instance.","用错误的选项类型取得组实例"
"Wrong product instance type in options group.","选项组中错误的产品实例"
"Wrong product type filter specified","指定错误的产品类型过滤"
"Wrong product type to extract configurable options.","用错误的产品类型释放客制选项"
"Year Range","年时间范围"
"Yes","是"
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性"
"You have no items to compare.","没有要比较的产品"
"You may also be interested in the following product(s)","您也许会喜欢下面的产品"
"Zoom In","放大"
"Zoom Out","缩小"
"and","和"
"and above","及以上"
"categories","分类"
"each","每个"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果不是图片请空白"
"per page","每页"
"products","产品"
"px.","像素"
"save","保存"
"select all","全选"
"unselect all","取消全选"
"x","x"
