"%s","%s"
"%s already exist.","%s 已存在"
"%s already exists.","%s 已存在"
"-- Please Select --","-- 请选择 --"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","请输入一个有效的XML识别符号。例如something_1, block5, id-4"
"Please enter a valid credit card number.","请输入正确的信用卡号码"
"Please enter a valid credit card verification number.","请输入有效的信用卡确认数字"
"Please enter a valid date between %s and %s","请输入一个正确的日期，介于 %s 与 %s"
"Please enter a valid date equal to or greater than %s","请输入一个正确的日期，等于或晚于 %s"
"Please enter a valid date less than or equal to %s","请输入一个正确的日期，等于或早于 %s"
"Please enter a valid date.","请输入正确的日期"
"Please enter a valid day (1-%d).","请输入一个正确的天数 (1-%d)"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电子信箱。例如 johndoe@domain.com"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","请输入一个有效的传真号码。例如(123) 456-7890 or 123-456-7890"
"Please enter a valid full date","请输入一个有效的日期"
"Please enter a valid month (1-12).","请输入一个有效的月份(1-12)"
"Please enter a valid number in this field.","请在这个字段输入正确的数字"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入电话号码。例如 (123) 456-7890 或 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社会保险号。例如 123-45-6789"
"Please enter a valid year (1900-%d).","请输入正确的年份 (1900-%d)"
"Please enter a valid zip code.","请输入正确的邮政编码"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮政编码。例如 90602 或 90602-1234"
"Please enter issue number or start date for switch/solo card type.","请输入issue号码或switch/solo卡类型的开始时间"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","请输入有效的CSS-长度. 例如 100px 或者 77pt 或者 20em 或者 .5ex or 50%"
"Please make sure your passwords match.","请确认密码一致"
"Please select State/Province.","请选择县市"
"Please select a file","请选择一个文件"
"Please select an option.","请选择"
"Please select one of the above options.","请在上面选择"
"Please select one of the options.","请选择"
"Please set available and/or protected paths list(s) before validation.","在验证之前请设定可用的 且/或 受保护的路径列表"
"Please specify either a category or a product, or both.","请指定一个类别或产品，或两者"
"Please use letters only (a-z or A-Z) in this field.","请使用字母 (a-z 或 A-Z) 填写此栏"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","请在此处仅使用数字，避免使用空格或者其他符号如点和逗号等"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请使用字母(a-z or A-Z)或数字(0-9)。空格或其他符号是不允许的"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","请使用字母（az或AZ）或数字（0-9）或空格和＃"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","这个字段只接受字母 (a-z 或 A-Z)、数字 (0-9) 或底线(_) ，第一个字符必须为字母"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请在这个字段中仅使用字母(az)、数字(0-9)、下划线(_)，第一个字符必须为字母"
"Please use only visible characters and spaces.","只能使用可见符号和空格"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用日期格式：dd/mm/yyyy，例如17/03/2006 表示2006年3月17日"
"Please wait, loading...","请稍候，载入中.."
"Polls","投票"
"Port (25)","端口 (25)"
"Profiler","配置器"
"Recovery Link Expiration Period (days)","恢复连结的有效期限（天）"
"Request Path for Specified Store","需要输入商店的路径"
"Request path length exceeds allowed %s symbols.","网址长度超过设定的 %s 字符限制"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","所请求的文件可能没有包含在父目录遍历中 (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","请求的商店""%s""有误"
"Resource is not set.","资源未设定"
"Retrieve info about current Magento installation","取得目前系统信息"
"Retrieve store data","取得商店资料"
"Retrieve store list","取得商店清单"
"Return-Path Email","信件返回路径"
"Root Category","根分类"
"Sales Representative","业务代表"
"Sales Representative Contact Email","业务代表联络人信箱"
"Sales Representative Contact Name","业务代表联络人名称"
"Save","保存"
"Save Store","保存商店"
"Save Store View","保存商店接口"
"Save Website","保存网站"
"Search Engines Optimization","搜索引擎优化"
"Secure","安全"
"Security","安全"
"Select Date","选择日期"
"Select Media Database","选择媒体数据库"
"Sender Email","寄件人地址"
"Sender Name","寄件人姓名"
"Services","服务"
"Session Cookie Management","联机 Cookie 管理"
"Session Lifetime (seconds)","Session 保存时间 (秒)"
"Session Validation Settings","Session 验证设定"
"Set Return-Path","设定返回路径"
"Set as Default","设为预设"
"Skin (Images / CSS)","外观 (图片/CSS)"
"Sort Order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间""%1$s"" 与格式""%2$s"" 不符"
"Start date cannot be greater than end date.","开始日期不能大于结束日期"
"Startup Page","起始页"
"Status","状态"
"Storage Configuration for Media","媒体保存设定"
"Store","商店"
"Store API","商店 API"
"Store Contact Address","商店联络地址"
"Store Contact Information","商店联络人信息"
"Store Contact Telephone","商店联络人电话"
"Store Email Addresses","商店电子信箱"
"Store Information","商店信息"
"Store Name","商店名称"
"Store View","商店界面"
"Store View Information","商店接口信息"
"Store View Name","商店接口名称"
"Store view doesn't exist","商店视图不存在"
"Store with the same code","商店代码重复"
"System","系统"
"System Log File Name","系统记录文件名"
"Template Path Hints","样板路径提示"
"Template Settings","样板设定"
"Template Variables","样板变数"
"Templates","样板"
"Text length does not satisfy specified text range.","文字长度不符合规定的文字范围"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的 %s 错误。请确保地址符合如下格式：""http://domain.com/"""
"The From Date value should be less than or equal to the To Date value.","开始日期应该小于或等于结束日期"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","商店代码可能只包含字母（az），数字（0-9）或底线（_），第一个符号必须是字母"
"The store does not exist","这商店不存在"
"The store has been deleted.","商店已被删除"
"The store has been saved.","商店已被保存"
"The store view has been deleted.","商店视图已被删除"
"The store view has been saved","商店视图已被保存"
"The template Name must not be empty.","样板的名称不能空白"
"The value is not within the specified range.","样板的名称不能空白"
"The website does not exist.","网站不存在"
"The website has been deleted.","网站被删除"
"The website has been saved.","网站已保存"
"Themes","主题"
"This category and all its child elements","此目录记所有子元素"
"This category and its child categories only","仅限此目录及其子目录"
"This category and its products only","仅限此目录及其下属产品"
"This category only","仅限该分类"
"This date is a required value.","日期是必填"
"This is a required field.","这是必填字段"
"This store cannot be deleted.","无法删除商店"
"This store view cannot be deleted.","无法删除商店视图"
"This website cannot be deleted.","无法删除网站"
"This will be displayed just before body closing tag.","在这里输入的将被显示在主体之前"
"This will be included before head closing tag in page HTML.","这里输入的将包含在页面HTML头标签之前"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Transactional Emails","交易信箱"
"Translate Inline","行内翻译"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","翻译，块和其他输出快取都应该被停用，前台和后台管理内嵌翻译"
"Translations","翻译"
"Two and more slashes together are not permitted in request path","两个以上的斜线在一起不允许在请求路径"
"Two and more slashes together are not permitted in url rewrite suffix","两个以上的斜线在一起不允许在后缀替代网址"
"Unable to create directory: %s","无法建立目录：%s"
"Unable to delete store view. Please, try again later.","无法删除商店视图。请稍后重试"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后重试"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后重试"
"Unable to proceed. Please, try again","无法继续，请稍后再试"
"Unable to proceed. Please, try again.","无法进行。请再试一次"
"Unable to save file ""%s"" at ""%s""","无法保存""%s"" 在 ""%s"""
"Unable to save file: %s","无法保存：%s"
"Unknown old style column type definition: {$definition}.","未知的旧型字段类型定义： {$definition}"
"Unknown scope ""%s"".","未知范围""%s"""
"Unsecure","未加密"
"Url Options","网址选项"
"Use Custom Admin Path","使用自定义管理路径"
"Use Custom Admin URL","使用自定义管理网址"
"Use HTTP Only","只使用HTTP"
"Use SID on Frontend","前台使用SID"
"Use Secure URLs in Admin","管理接口使用安全链接"
"Use Secure URLs in Frontend","前台使用安全连结"
"Use Web Server Rewrites","使用服务器替代网址"
"VAT Number","欧洲 VAT 编号"
"Validate HTTP_USER_AGENT","验证 HTTP_USER_AGENT"
"Validate HTTP_VIA","验证 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","验证 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","验证 REMOTE_ADDR"
"Validation has failed.","验证失败"
"Values less than 60 are ignored. Note that changes will apply after logout.","值低于60将被忽略.更改将在注销后生效"
"Variable Code must be unique.","变量代码必须是唯一的"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","警告！在正式运作的环境不建议开启这个功能，因为会造成可能的安全风险"
"Web","网页"
"Website","网站"
"Website Information","网站信息"
"Website Name","网站名称"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","网站代码只能包含字母（a到z）、数字（0到9）或下划线（_），且第一个字符必须是字母。"
"Website with the same code","网站代码重复"
"Weekend Days","周末"
"Welcome Text","欢迎文字"
"Wrong file info format","错误的文件格式"
"Wrong number of arguments for %s","%s的参数数量错误"
"Wrong old style column type definition: {$definition}.","错误的旧型字段类型定义： {$definition}"
"Yes","是"
"You will have to log in after you save your custom admin path.","在保存自定义管理路径后您会需要重新登入"
"Your design change for the specified store intersects with another one, please specify another date range.","您指定的商店设计变动跟另一个产生重迭，请指定另外一个期间"
"database ""%s""","数据库""%s"""
